SNID,filename,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2
2005mz,pantheon_data_folder/2005mz/mastDownload/HST/icoe02050/icoe02050_drz.fits,2025-03-31,HST,WFC3,F160W,-1.6598658240806e-05,-3.1521821429437e-05,-3.1521821429437e-05,1.65986582408061e-05
2005mz,pantheon_data_folder/2005mz/mastDownload/HST/n46001020/n46001021_mos.fits,2009-11-05T08:37:00,HST,NICMOS,F160W,-1.82298e-05,1.06644e-05,1.07652e-05,1.8059e-05
2005mz,pantheon_data_folder/2005mz/mastDownload/HST/n46001020/n46001020_mos.fits,2009-11-05T08:36:59,HST,NICMOS,F160W,-1.82298e-05,1.06644e-05,1.07653e-05,1.8059e-05
2005mz,pantheon_data_folder/2005mz/mastDownload/HST/hst_13662_02_wfc3_ir_f160w_icoe02/hst_13662_02_wfc3_ir_f160w_icoe02_drz.fits,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,-1.5436046937176e-21,-2.5206877590334e-21,3.56250007947285e-05
2005mz,pantheon_data_folder/2005mz/mastDownload/HST/hst_13050_01_wfc3_ir_f160w_ic0b01/hst_13050_01_wfc3_ir_f160w_ic0b01_drz.fits,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,-1.824725208626e-21,-2.8004395052945e-21,3.56250007947285e-05
2005mz,pantheon_data_folder/2005mz/mastDownload/HST/n3zb1r010/n3zb1r010_mos.fits,2009-06-16T10:05:06,HST,NICMOS,F160W,2.0163e-05,-6.2012e-06,-6.25735e-06,-1.99821e-05
2005mz,pantheon_data_folder/2005mz/mastDownload/HST/hst_skycell-p2166x04y09_wfc3_ir_f160w_coarse-all/hst_skycell-p2166x04y09_wfc3_ir_f160w_coarse-all_drz.fits,2024-11-22,HST,WFC3,F160W,-3.3333333333333e-05,0.0,0.0,3.33333333333333e-05
2005mz,pantheon_data_folder/2005mz/mastDownload/HST/hst_11207_06_acs_sbc_total_ja2706/hst_11207_06_acs_sbc_total_ja2706_drz.fits,2024-11-05,HST,ACS,detection,-6.9444444444444e-06,8.62129072483823e-23,-1.310220965949e-22,6.94444444444444e-06
2005mz,pantheon_data_folder/2005mz/mastDownload/HST/icoe02040/icoe02040_drz.fits,2025-04-11,HST,WFC3,F160W,-1.6606691175896e-05,-3.1517590165062e-05,-3.1517590165062e-05,1.66066911758963e-05
2005mz,pantheon_data_folder/2005mz/mastDownload/HST/ja2708010/ja2708010_drz.fits,2025-05-12,HST,ACS,,3.41228278767708e-06,-6.0482753590505e-06,-6.0482753590505e-06,-3.412282787677e-06
